epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2645.86,0.78183,0.39279,0.85769,0.9302,0.91372,0.9841,0.77384,0.95767,0.53038,0.89826,0.000111438,0.000111438,0.000111438
85,2676.91,0.77497,0.39537,0.86267,0.94288,0.91771,0.98645,0.78254,0.9486,0.47371,0.8975,0.00010525,0.00010525,0.00010525
86,2708.67,0.77563,0.39078,0.86442,0.93617,0.9039,0.97847,0.77161,0.95594,0.53228,0.89825,9.90625e-05,9.90625e-05,9.90625e-05
87,2739.66,0.77067,0.3848,0.86176,0.94227,0.87209,0.96814,0.76722,0.96973,0.55318,0.90027,9.2875e-05,9.2875e-05,9.2875e-05
88,2770.59,0.76253,0.38472,0.86481,0.93901,0.88954,0.97155,0.76713,0.96073,0.55989,0.90043,8.66875e-05,8.66875e-05,8.66875e-05
89,2803.3,0.7635,0.38204,0.86278,0.963,0.95772,0.98787,0.78295,0.95103,0.42899,0.89899,8.05e-05,8.05e-05,8.05e-05
90,2833.61,0.76706,0.3811,0.86343,0.97398,0.93466,0.98673,0.78965,0.93983,0.42615,0.89925,7.43125e-05,7.43125e-05,7.43125e-05
91,2893.68,0.72957,0.33489,0.8749,0.95647,0.92753,0.97969,0.77944,0.9559,0.46382,0.89905,6.8125e-05,6.8125e-05,6.8125e-05
92,2924.93,0.72845,0.3346,0.87021,0.97863,0.93784,0.98802,0.78317,0.95423,0.42063,0.89976,6.19375e-05,6.19375e-05,6.19375e-05
93,2955.55,0.72212,0.33634,0.86575,0.97293,0.91992,0.98,0.7747,0.9634,0.45661,0.90143,5.575e-05,5.575e-05,5.575e-05
94,2987.36,0.72013,0.33551,0.87082,0.90379,0.95217,0.9738,0.76061,0.97398,0.49086,0.9042,4.95625e-05,4.95625e-05,4.95625e-05
95,3019.76,0.71158,0.32315,0.86334,0.96319,0.94405,0.98368,0.77739,0.96342,0.43536,0.90203,4.3375e-05,4.3375e-05,4.3375e-05
96,3051.6,0.71445,0.32501,0.86698,0.96188,0.93676,0.98022,0.77421,0.97499,0.45143,0.90442,3.71875e-05,3.71875e-05,3.71875e-05
97,3082.74,0.71008,0.32566,0.86723,0.96416,0.90754,0.97816,0.77407,0.97968,0.47882,0.90749,3.1e-05,3.1e-05,3.1e-05
98,3113.54,0.70884,0.3271,0.86597,0.94797,0.90969,0.97563,0.77377,0.98134,0.49498,0.90819,2.48125e-05,2.48125e-05,2.48125e-05
99,3145.23,0.7038,0.31889,0.86498,0.90336,0.90815,0.96601,0.75895,1.00003,0.55198,0.90833,1.8625e-05,1.8625e-05,1.8625e-05
100,3177.7,0.70127,0.32059,0.86365,0.94268,0.92135,0.97557,0.76479,0.98644,0.50289,0.90654,1.24375e-05,1.24375e-05,1.24375e-05
