epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,14784.8,1.61527,1.10142,1.20548,0.75543,0.83686,0.8151,0.53167,1.12063,2.58276,0.98911,0.00025375,0.00025375,0.00025375
62,15059,1.61816,1.10271,1.20202,0.70358,0.73536,0.7982,0.53966,1.05805,2.55162,0.97479,0.000247563,0.000247563,0.000247563
63,15270.3,1.62151,1.09048,1.17862,0.78024,0.78886,0.81232,0.52293,1.10376,2.63601,0.98505,0.000241375,0.000241375,0.000241375
64,15485.2,1.56965,1.05329,1.18726,0.71476,0.82178,0.81432,0.54439,1.04214,2.6835,0.96963,0.000235188,0.000235188,0.000235188
65,15751.1,1.60012,1.0861,1.18153,0.75499,0.84999,0.83347,0.56116,0.98854,2.40006,0.95207,0.000229,0.000229,0.000229
66,15969.8,1.59747,1.06762,1.17694,0.6991,0.81107,0.79212,0.51758,1.08102,2.74009,0.97414,0.000222813,0.000222813,0.000222813
67,16186.1,1.58056,1.04333,1.15855,0.73915,0.8346,0.81164,0.53332,1.03131,2.88838,0.95672,0.000216625,0.000216625,0.000216625
68,16349.9,1.61744,1.07946,1.18743,0.66407,0.85272,0.80789,0.52791,1.07762,2.75272,0.972,0.000210437,0.000210437,0.000210437
69,16684,1.58462,1.04913,1.18556,0.79515,0.84094,0.83556,0.54691,1.04249,2.51417,0.96915,0.00020425,0.00020425,0.00020425
70,16846.5,1.57628,1.06445,1.1589,0.71793,0.84981,0.81932,0.53457,1.08197,2.61689,0.97302,0.000198063,0.000198063,0.000198063
71,17064.1,1.61266,1.05646,1.16205,0.764,0.83909,0.80794,0.53273,1.07649,2.74819,0.97243,0.000191875,0.000191875,0.000191875
72,17297.6,1.60091,1.05345,1.19528,0.73454,0.8478,0.81894,0.53308,1.0793,2.45235,0.97331,0.000185688,0.000185688,0.000185688
73,17492.6,1.58121,1.03726,1.18028,0.68674,0.86977,0.8225,0.54742,1.05352,2.54786,0.96519,0.0001795,0.0001795,0.0001795
74,17681.5,1.58458,1.04684,1.19518,0.71229,0.84056,0.84518,0.55253,1.0489,2.36283,0.97256,0.000173313,0.000173313,0.000173313
